transientid,ML_PROB_FRB
0.015924_DM_221.96_beam_1C2020_02_02_11:55:53.fil.hdf5,6.0740554e-17
0.016748_DM_430.23_beam_0I2020_01_12_23:36:46.fil.hdf5,7.703503e-06
0.018379_DM_148.90_beam_2C2020_02_14_04:34:59.fil.hdf5,3.5884455e-12
0.019599_DM_1325.12_beam_7C2020_02_14_04:31:25.fil.hdf5,3.571182e-21
0.019599_DM_1364.37_beam_2C2020_02_14_04:31:25.fil.hdf5,8.430947e-21
0.028177_DM_373.00_beam_343C2020_04_12_04:09:49.fil.hdf5,1.7813535e-15
0.028178_DM_89.64_beam_270C2020_01_20_11:16:13.fil.hdf5,1.7171629e-09
0.028693_DM_274.15_beam_0I2020_01_12_23:48:33.fil.hdf5,3.004502e-05
0.032005_DM_75.83_beam_0C2020_02_02_11:20:22.fil.hdf5,1.0
0.034507_DM_114.51_beam_0I2020_01_12_23:48:46.fil.hdf5,3.4462783e-08
0.035527_DM_877.50_beam_251C2020_05_31_19:47:03.fil.hdf5,5.988422e-10
0.036746_DM_456.12_beam_148C2020_05_31_18:19:16.fil.hdf5,0.00037135853
0.036748_DM_645.85_beam_376C2020_05_31_19:47:03.fil.hdf5,6.91319e-12
0.036749_DM_83.20_beam_274C2020_01_20_11:16:13.fil.hdf5,1.361092e-10
0.039199_DM_771.88_beam_227C2020_04_13_07:10:28.fil.hdf5,0.0012492583
0.044098_DM_732.11_beam_224C2020_04_13_07:10:28.fil.hdf5,0.6826711
0.047009_DM_56.18_beam_0C2020_04_19_17:38:33.fil.hdf5,1.0
0.04783_DM_146.13_beam_0C2020_04_19_19:28:20.fil.hdf5,1.0
0.048849_DM_54.65_beam_0C2020_04_19_17:29:20.fil.hdf5,1.0
0.054048_DM_137.23_beam_0I2020_05_24_23:26:37.fil.hdf5,5.9907464e-08
0.055944_DM_588.02_beam_0I2020_01_12_23:41:02.fil.hdf5,5.855701e-07
0.058797_DM_237.93_beam_0C2020_04_11_21:35:40.fil.hdf5,0.99999976
0.058803_DM_66.31_beam_6C2020_02_02_04:04:46.fil.hdf5,9.895898e-18
0.060232_DM_37.15_beam_0C2020_04_19_15:56:51.fil.hdf5,0.9999969
0.061252_DM_380.68_beam_0C2020_03_20_02:13:06.fil.hdf5,9.005643e-07
0.062013_DM_58.94_beam_4C2020_02_02_04:37:01.fil.hdf5,6.475911e-07
0.075944_DM_3085.75_beam_230C2020_05_25_02:11:06.fil.hdf5,3.3857484e-13
0.076254_DM_240.38_beam_0C2020_04_12_04:37:44.fil.hdf5,0.9999913
0.077019_DM_341.38_beam_0I2020_01_12_23:26:37.fil.hdf5,1.3330201e-07
0.077781_DM_54.95_beam_1C2020_02_03_02:21:25.fil.hdf5,3.1123555e-11
0.078401_DM_3069.75_beam_70C2020_05_25_02:11:06.fil.hdf5,7.164698e-15
0.078401_DM_867.37_beam_381C2020_05_31_19:47:03.fil.hdf5,6.7972483e-10
0.084982_DM_97.32_beam_0I2020_01_12_23:59:01.fil.hdf5,6.6638955e-07
0.086721_DM_75.83_beam_0C2020_02_02_11:21:11_1.fil.hdf5,1.0
0.088194_DM_2267.50_beam_0C2020_04_19_20:06:37.fil.hdf5,6.708736e-25
0.089325_DM_75.83_beam_0C2020_02_02_11:20:57.fil.hdf5,1.0
0.091933_DM_27.63_beam_0C2020_04_19_16:42:28.fil.hdf5,1.0
0.095085_DM_103.46_beam_0C2020_03_31_00:24:22.fil.hdf5,5.9341683e-06
0.095395_DM_103.46_beam_9C2020_03_31_00:24:22.fil.hdf5,4.117279e-07
0.097994_DM_656.48_beam_3C2020_02_04_03:18:03.fil.hdf5,2.0813496e-12
0.108254_DM_88.42_beam_0I2020_01_12_23:33:22.fil.hdf5,8.101674e-09
0.108927_DM_168.54_beam_0I2020_01_12_23:34:51.fil.hdf5,0.00042558525
0.110769_DM_291.96_beam_0C2020_04_19_19:47:20.fil.hdf5,1.0
0.120201_DM_140.61_beam_0I2020_01_12_23:45:11.fil.hdf5,1.7117166e-07
0.120263_DM_76.75_beam_0C2020_04_19_20:21:40.fil.hdf5,0.9999995
0.131227_DM_378.53_beam_692C2020_04_13_07:12:42.fil.hdf5,0.002554099
0.139644_DM_377.00_beam_314C2020_04_12_06:23:45.fil.hdf5,9.776865e-13
0.141794_DM_30.09_beam_0C2020_04_11_22:14:40.fil.hdf5,0.99999785
0.142098_DM_2019.37_beam_102C2020_05_31_18:22:12.fil.hdf5,2.4920675e-07
0.158331_DM_90.87_beam_0C2020_04_13_07:47:59.fil.hdf5,0.0032283296
0.166593_DM_367.79_beam_317C2020_04_12_06:23:45.fil.hdf5,8.170443e-11
0.175172_DM_355.20_beam_442C2020_04_12_06:23:45.fil.hdf5,3.9973856e-06
0.18007_DM_352.74_beam_318C2020_04_12_06:23:45.fil.hdf5,2.124742e-08
