transientid,ML_PROB
0.032005_DM_75.83_beam_0C2020_02_02_11:20:22.fil.hdf5,1.0
0.047009_DM_56.18_beam_0C2020_04_19_17:38:33.fil.hdf5,1.0
0.04783_DM_146.13_beam_0C2020_04_19_19:28:20.fil.hdf5,1.0
0.048849_DM_54.65_beam_0C2020_04_19_17:29:20.fil.hdf5,1.0
0.058797_DM_237.93_beam_0C2020_04_11_21:35:40.fil.hdf5,0.99999976
0.060232_DM_37.15_beam_0C2020_04_19_15:56:51.fil.hdf5,0.99998033
0.076254_DM_240.38_beam_0C2020_04_12_04:37:44.fil.hdf5,0.99998975
0.086721_DM_75.83_beam_0C2020_02_02_11:21:11_1.fil.hdf5,1.0
0.089325_DM_75.83_beam_0C2020_02_02_11:20:57.fil.hdf5,1.0
0.091933_DM_27.63_beam_0C2020_04_19_16:42:28.fil.hdf5,1.0
0.110769_DM_291.96_beam_0C2020_04_19_19:47:20.fil.hdf5,1.0
0.120263_DM_76.75_beam_0C2020_04_19_20:21:40.fil.hdf5,0.99999857
0.141794_DM_30.09_beam_0C2020_04_11_22:14:40.fil.hdf5,1.0
0.191617_DM_76.14_beam_0C2020_04_07_01:17:28.fil.hdf5,1.0
0.1933_DM_75.52_beam_0C2020_04_14_01:29:19.fil.hdf5,1.0
0.197586_DM_75.83_beam_0C2020_04_14_01:27:49.fil.hdf5,1.0
0.20319_DM_356.12_beam_0C2020_04_19_20:32:59.fil.hdf5,1.0
0.205852_DM_125.56_beam_0C2020_04_19_16:12:47.fil.hdf5,0.99999964
0.213912_DM_83.50_beam_0C2020_04_19_16:03:08.fil.hdf5,0.99999964
0.215039_DM_30.09_beam_0C2020_04_11_22:13:04_1.fil.hdf5,1.0
0.222944_DM_56.80_beam_0C2020_03_30_03:56:10.fil.hdf5,1.0
0.240399_DM_180.52_beam_0C2020_04_19_17:42:01.fil.hdf5,1.0
0.243067_DM_100.70_beam_0C2020_04_19_19:49:45.fil.hdf5,1.0
0.244692_DM_75.83_beam_0C2020_04_07_01:14:20.fil.hdf5,0.9999999
0.246239_DM_49.12_beam_0C2020_03_28_14:40:48.fil.hdf5,0.996979
0.253171_DM_129.25_beam_0C2020_04_19_18:32:27.fil.hdf5,1.0
0.25893_DM_75.83_beam_0C2020_04_12_01:03:46.fil.hdf5,1.0
0.27164_DM_56.80_beam_0C2020_03_30_04:02:01.fil.hdf5,0.99998784
0.286032_DM_75.83_beam_0C2020_03_30_01:41:10.fil.hdf5,1.0
0.294664_DM_75.83_beam_0C2020_04_07_06:06:08.fil.hdf5,1.0
0.295585_DM_75.83_beam_0C2020_02_02_11:20:11.fil.hdf5,1.0
0.295888_DM_75.83_beam_0C2020_02_27_23:54:25.fil.hdf5,0.99999976
0.296746_DM_56.80_beam_0C2020_03_30_04:06:21.fil.hdf5,1.0
0.304711_DM_238.23_beam_0C2020_04_11_21:32:27.fil.hdf5,1.0
0.304867_DM_56.80_beam_0C2020_03_30_03:57:57.fil.hdf5,0.99999976
0.308851_DM_75.83_beam_0C2020_04_07_06:05:23.fil.hdf5,1.0
