transientid,ML_PROB_FRB
0.015924_DM_221.96_beam_1C2020_02_02_11:55:53.fil.hdf5,1.7669852e-06
0.016748_DM_430.23_beam_0I2020_01_12_23:36:46.fil.hdf5,0.00235645
0.018379_DM_148.90_beam_2C2020_02_14_04:34:59.fil.hdf5,5.5500674e-05
0.019599_DM_1325.12_beam_7C2020_02_14_04:31:25.fil.hdf5,1.48177e-06
0.019599_DM_1364.37_beam_2C2020_02_14_04:31:25.fil.hdf5,1.2234736e-06
0.028177_DM_373.00_beam_343C2020_04_12_04:09:49.fil.hdf5,5.941859e-06
0.028178_DM_89.64_beam_270C2020_01_20_11:16:13.fil.hdf5,0.06468635
0.028693_DM_274.15_beam_0I2020_01_12_23:48:33.fil.hdf5,0.027853716
0.032005_DM_75.83_beam_0C2020_02_02_11:20:22.fil.hdf5,1.0
0.034507_DM_114.51_beam_0I2020_01_12_23:48:46.fil.hdf5,9.818325e-05
0.035527_DM_877.50_beam_251C2020_05_31_19:47:03.fil.hdf5,0.00012889561
0.036746_DM_456.12_beam_148C2020_05_31_18:19:16.fil.hdf5,5.295294e-05
0.036748_DM_645.85_beam_376C2020_05_31_19:47:03.fil.hdf5,0.00014750642
0.036749_DM_83.20_beam_274C2020_01_20_11:16:13.fil.hdf5,0.017240645
0.039199_DM_771.88_beam_227C2020_04_13_07:10:28.fil.hdf5,1.7083983e-05
0.044098_DM_732.11_beam_224C2020_04_13_07:10:28.fil.hdf5,0.0012949104
0.047009_DM_56.18_beam_0C2020_04_19_17:38:33.fil.hdf5,1.0
0.04783_DM_146.13_beam_0C2020_04_19_19:28:20.fil.hdf5,1.0
0.048849_DM_54.65_beam_0C2020_04_19_17:29:20.fil.hdf5,1.0
0.054048_DM_137.23_beam_0I2020_05_24_23:26:37.fil.hdf5,0.0017971087
0.055944_DM_588.02_beam_0I2020_01_12_23:41:02.fil.hdf5,0.00037504762
0.058797_DM_237.93_beam_0C2020_04_11_21:35:40.fil.hdf5,0.9999987
0.058803_DM_66.31_beam_6C2020_02_02_04:04:46.fil.hdf5,9.213575e-08
0.060232_DM_37.15_beam_0C2020_04_19_15:56:51.fil.hdf5,0.99963236
0.061252_DM_380.68_beam_0C2020_03_20_02:13:06.fil.hdf5,6.344367e-05
0.062013_DM_58.94_beam_4C2020_02_02_04:37:01.fil.hdf5,0.0014953604
0.075944_DM_3085.75_beam_230C2020_05_25_02:11:06.fil.hdf5,1.2141342e-06
0.076254_DM_240.38_beam_0C2020_04_12_04:37:44.fil.hdf5,0.9995345
0.077019_DM_341.38_beam_0I2020_01_12_23:26:37.fil.hdf5,0.00027510436
0.077781_DM_54.95_beam_1C2020_02_03_02:21:25.fil.hdf5,4.7901318e-05
0.078401_DM_3069.75_beam_70C2020_05_25_02:11:06.fil.hdf5,7.662004e-08
0.078401_DM_867.37_beam_381C2020_05_31_19:47:03.fil.hdf5,0.055208784
0.084982_DM_97.32_beam_0I2020_01_12_23:59:01.fil.hdf5,1.4410361e-05
0.086721_DM_75.83_beam_0C2020_02_02_11:21:11_1.fil.hdf5,1.0
0.088194_DM_2267.50_beam_0C2020_04_19_20:06:37.fil.hdf5,0.00043967692
0.089325_DM_75.83_beam_0C2020_02_02_11:20:57.fil.hdf5,1.0
0.091933_DM_27.63_beam_0C2020_04_19_16:42:28.fil.hdf5,0.999941
0.095085_DM_103.46_beam_0C2020_03_31_00:24:22.fil.hdf5,2.4581861e-06
0.095395_DM_103.46_beam_9C2020_03_31_00:24:22.fil.hdf5,5.4457934e-05
0.097994_DM_656.48_beam_3C2020_02_04_03:18:03.fil.hdf5,3.9324792e-08
0.108254_DM_88.42_beam_0I2020_01_12_23:33:22.fil.hdf5,0.00039830682
0.108927_DM_168.54_beam_0I2020_01_12_23:34:51.fil.hdf5,0.0022803252
0.110769_DM_291.96_beam_0C2020_04_19_19:47:20.fil.hdf5,1.0
0.120201_DM_140.61_beam_0I2020_01_12_23:45:11.fil.hdf5,4.2728236e-05
0.120263_DM_76.75_beam_0C2020_04_19_20:21:40.fil.hdf5,0.9996922
0.131227_DM_378.53_beam_692C2020_04_13_07:12:42.fil.hdf5,0.062037483
0.139644_DM_377.00_beam_314C2020_04_12_06:23:45.fil.hdf5,0.0017433952
0.141794_DM_30.09_beam_0C2020_04_11_22:14:40.fil.hdf5,0.9999989
0.142098_DM_2019.37_beam_102C2020_05_31_18:22:12.fil.hdf5,7.62591e-05
0.158331_DM_90.87_beam_0C2020_04_13_07:47:59.fil.hdf5,2.7604601e-05
0.166593_DM_367.79_beam_317C2020_04_12_06:23:45.fil.hdf5,0.00020190715
0.175172_DM_355.20_beam_442C2020_04_12_06:23:45.fil.hdf5,0.011561495
0.18007_DM_352.74_beam_318C2020_04_12_06:23:45.fil.hdf5,0.0037601516
0.185795_DM_373.00_beam_0I2020_05_24_23:21:10.fil.hdf5,0.002128825
0.189416_DM_33.77_beam_648C2019_12_06_15:48:46.fil.hdf5,0.012208662
0.191617_DM_76.14_beam_0C2020_04_07_01:17:28.fil.hdf5,0.99994826
0.1933_DM_75.52_beam_0C2020_04_14_01:29:19.fil.hdf5,0.99997294
0.197586_DM_75.83_beam_0C2020_04_14_01:27:49.fil.hdf5,1.0
