h5,label
0.944054_DM_49.12_beam_0C2020_03_20_21:25:42.fil.hdf5,1
0.499998_DM_157.49_beam_0C2020_04_12_01:13:38.fil.hdf5,1
0.115514_DM_80.74_beam_0C2020_04_19_16:19:55.fil.hdf5,1
0.499999_DM_192.18_beam_0C2020_04_14_01:42:07.fil.hdf5,1
0.500003_DM_40.22_beam_605C2020_04_23_23:08:32.fil.hdf5,0
0.795522_DM_40.52_beam_561C2020_04_27_02:19:46.fil.hdf5,0
0.5_DM_1515.56_beam_75C2020_05_31_19:52:43.fil.hdf5,0
0.499999_DM_173.76_beam_0C2020_04_12_00:04:26.fil.hdf5,1
0.499999_DM_57.72_beam_0C2020_03_30_04:02:38.fil.hdf5,1
0.499998_DM_177.14_beam_0C2020_03_15_17:59:39.fil.hdf5,1
0.500002_DM_401.54_beam_1C2020_02_02_11:30:33.fil.hdf5,1
0.5_DM_80.13_beam_7C2020_02_21_21:34:40.fil.hdf5,0
0.500004_DM_40.22_beam_0C2020_04_19_15:58:36.fil.hdf5,1
0.911438_DM_75.83_beam_0C2020_02_02_11:21:18.fil.hdf5,1
0.500002_DM_84.12_beam_0C2020_04_19_16:04:54.fil.hdf5,1
0.500002_DM_31.31_beam_0C2020_04_13_08:40:00.fil.hdf5,1
0.499999_DM_555.42_beam_6C2020_02_02_12:06:34.fil.hdf5,0
0.499998_DM_363.18_beam_140C2020_04_23_23:05:05.fil.hdf5,0
0.500003_DM_380.68_beam_466C2020_04_13_00:48:34.fil.hdf5,0
0.500004_DM_241.92_beam_0C2020_04_12_04:31:22.fil.hdf5,1
0.5_DM_295.03_beam_0C2020_04_19_20:12:23.fil.hdf5,1
0.713906_DM_180.82_beam_0C2020_04_19_17:26:06.fil.hdf5,1
0.500004_DM_411.98_beam_9C2020_02_04_01:52:25.fil.hdf5,0
0.5784_DM_764.71_beam_209C2020_01_20_09:47:02.fil.hdf5,0
0.5_DM_110.21_beam_0C2020_04_19_18:40:17.fil.hdf5,1
0.5_DM_176.83_beam_0C2020_04_13_08:02:20.fil.hdf5,1
0.499997_DM_31.62_beam_651C2019_12_06_15:47:23.fil.hdf5,0
0.066972_DM_27.32_beam_0C2020_04_19_16:42:52.fil.hdf5,1
0.500002_DM_280.90_beam_0C2020_03_15_22:24:50.fil.hdf5,1
0.358762_DM_29.47_beam_0I2020_05_24_23:20:46.fil.hdf5,0
0.090246_DM_75.83_beam_0C2020_02_27_23:55:07.fil.hdf5,1
0.500003_DM_27.63_beam_411C2020_04_23_22:59:05.fil.hdf5,0
0.499999_DM_155.65_beam_0C2020_04_12_01:17:58.fil.hdf5,1
0.500002_DM_71.53_beam_0C2020_04_19_16:24:03.fil.hdf5,1
0.500003_DM_402.20_beam_0C2020_02_02_11:27:57.fil.hdf5,1
0.500004_DM_221.04_beam_0C2020_04_11_23:45:26.fil.hdf5,1
0.499999_DM_73.07_beam_0C2020_04_19_16:23:47.fil.hdf5,0
0.489222_DM_275.07_beam_0I2020_01_12_23:26:19.fil.hdf5,0
0.499997_DM_425.67_beam_4C2020_04_13_00:46:33.fil.hdf5,0
0.500004_DM_37.76_beam_168C2019_12_06_15:48:46.fil.hdf5,0
0.499999_DM_111.13_beam_0C2020_03_15_21:14:13.fil.hdf5,1
0.500004_DM_37.15_beam_495C2020_04_23_23:00:27.fil.hdf5,0
0.499996_DM_75.83_beam_0C2020_04_12_01:04:17.fil.hdf5,1
0.500001_DM_191.57_beam_0C2020_02_02_11:58:06.fil.hdf5,1
0.500001_DM_190.65_beam_0C2020_04_14_01:33:06.fil.hdf5,1
0.500002_DM_55.57_beam_0C2020_03_30_04:06:07_1.fil.hdf5,1
0.500004_DM_1208.65_beam_11C2020_02_04_02:54:58.fil.hdf5,0
0.500004_DM_35.30_beam_751C2020_04_23_23:10:28.fil.hdf5,0
