candidate,probability,label
0.015924_DM_221.96_beam_1C2020_02_02_11:55:53.fil.hdf5,2.0953923e-06,0.0
0.016748_DM_430.23_beam_0I2020_01_12_23:36:46.fil.hdf5,0.0006071352,0.0
0.018379_DM_148.90_beam_2C2020_02_14_04:34:59.fil.hdf5,0.00020273919,0.0
0.019599_DM_1325.12_beam_7C2020_02_14_04:31:25.fil.hdf5,3.018675e-06,0.0
0.019599_DM_1364.37_beam_2C2020_02_14_04:31:25.fil.hdf5,1.9047646e-06,0.0
0.028177_DM_373.00_beam_343C2020_04_12_04:09:49.fil.hdf5,1.9815632e-05,0.0
0.028178_DM_89.64_beam_270C2020_01_20_11:16:13.fil.hdf5,0.3058116,0.0
0.028693_DM_274.15_beam_0I2020_01_12_23:48:33.fil.hdf5,0.021790083,0.0
0.032005_DM_75.83_beam_0C2020_02_02_11:20:22.fil.hdf5,1.0,1.0
0.034507_DM_114.51_beam_0I2020_01_12_23:48:46.fil.hdf5,0.000102255086,0.0
0.035527_DM_877.50_beam_251C2020_05_31_19:47:03.fil.hdf5,0.00012741282,0.0
0.036746_DM_456.12_beam_148C2020_05_31_18:19:16.fil.hdf5,0.00015909641,0.0
0.036748_DM_645.85_beam_376C2020_05_31_19:47:03.fil.hdf5,0.0002635575,0.0
0.036749_DM_83.20_beam_274C2020_01_20_11:16:13.fil.hdf5,0.05916296,0.0
0.039199_DM_771.88_beam_227C2020_04_13_07:10:28.fil.hdf5,3.3694527e-05,0.0
0.044098_DM_732.11_beam_224C2020_04_13_07:10:28.fil.hdf5,0.0033657504,0.0
0.047009_DM_56.18_beam_0C2020_04_19_17:38:33.fil.hdf5,1.0,1.0
0.04783_DM_146.13_beam_0C2020_04_19_19:28:20.fil.hdf5,1.0,1.0
0.048849_DM_54.65_beam_0C2020_04_19_17:29:20.fil.hdf5,1.0,1.0
0.054048_DM_137.23_beam_0I2020_05_24_23:26:37.fil.hdf5,0.030210884,0.0
0.055944_DM_588.02_beam_0I2020_01_12_23:41:02.fil.hdf5,0.00037991934,0.0
0.058797_DM_237.93_beam_0C2020_04_11_21:35:40.fil.hdf5,0.99999964,1.0
0.058803_DM_66.31_beam_6C2020_02_02_04:04:46.fil.hdf5,2.9585175e-07,0.0
0.060232_DM_37.15_beam_0C2020_04_19_15:56:51.fil.hdf5,0.9999732,1.0
0.061252_DM_380.68_beam_0C2020_03_20_02:13:06.fil.hdf5,0.00041442335,0.0
0.062013_DM_58.94_beam_4C2020_02_02_04:37:01.fil.hdf5,0.003320306,0.0
0.075944_DM_3085.75_beam_230C2020_05_25_02:11:06.fil.hdf5,1.6767843e-05,0.0
0.076254_DM_240.38_beam_0C2020_04_12_04:37:44.fil.hdf5,0.99997306,1.0
0.077019_DM_341.38_beam_0I2020_01_12_23:26:37.fil.hdf5,0.0003616338,0.0
0.077781_DM_54.95_beam_1C2020_02_03_02:21:25.fil.hdf5,8.900977e-05,0.0
0.078401_DM_3069.75_beam_70C2020_05_25_02:11:06.fil.hdf5,9.886878e-07,0.0
0.078401_DM_867.37_beam_381C2020_05_31_19:47:03.fil.hdf5,0.22902802,0.0
0.084982_DM_97.32_beam_0I2020_01_12_23:59:01.fil.hdf5,5.6827816e-06,0.0
0.086721_DM_75.83_beam_0C2020_02_02_11:21:11_1.fil.hdf5,1.0,1.0
0.088194_DM_2267.50_beam_0C2020_04_19_20:06:37.fil.hdf5,0.0045417934,0.0
0.089325_DM_75.83_beam_0C2020_02_02_11:20:57.fil.hdf5,1.0,1.0
0.091933_DM_27.63_beam_0C2020_04_19_16:42:28.fil.hdf5,0.99999666,1.0
0.095085_DM_103.46_beam_0C2020_03_31_00:24:22.fil.hdf5,3.269467e-06,0.0
0.095395_DM_103.46_beam_9C2020_03_31_00:24:22.fil.hdf5,3.5219426e-05,0.0
0.097994_DM_656.48_beam_3C2020_02_04_03:18:03.fil.hdf5,4.131749e-08,0.0
0.108254_DM_88.42_beam_0I2020_01_12_23:33:22.fil.hdf5,0.0003141332,0.0
0.108927_DM_168.54_beam_0I2020_01_12_23:34:51.fil.hdf5,0.00091589213,0.0
0.110769_DM_291.96_beam_0C2020_04_19_19:47:20.fil.hdf5,1.0,1.0
0.120201_DM_140.61_beam_0I2020_01_12_23:45:11.fil.hdf5,3.6680376e-05,0.0
0.120263_DM_76.75_beam_0C2020_04_19_20:21:40.fil.hdf5,0.9999634,1.0
0.131227_DM_378.53_beam_692C2020_04_13_07:12:42.fil.hdf5,0.04258647,0.0
0.139644_DM_377.00_beam_314C2020_04_12_06:23:45.fil.hdf5,0.0068689766,0.0
0.141794_DM_30.09_beam_0C2020_04_11_22:14:40.fil.hdf5,1.0,1.0
0.142098_DM_2019.37_beam_102C2020_05_31_18:22:12.fil.hdf5,6.561708e-05,0.0
0.158331_DM_90.87_beam_0C2020_04_13_07:47:59.fil.hdf5,7.50316e-05,0.0
0.166593_DM_367.79_beam_317C2020_04_12_06:23:45.fil.hdf5,0.00057284214,0.0
0.175172_DM_355.20_beam_442C2020_04_12_06:23:45.fil.hdf5,0.05713698,0.0
0.18007_DM_352.74_beam_318C2020_04_12_06:23:45.fil.hdf5,0.017355599,0.0
0.185795_DM_373.00_beam_0I2020_05_24_23:21:10.fil.hdf5,0.053859506,0.0
0.189416_DM_33.77_beam_648C2019_12_06_15:48:46.fil.hdf5,0.031556662,0.0
0.191617_DM_76.14_beam_0C2020_04_07_01:17:28.fil.hdf5,0.9999944,1.0
0.1933_DM_75.52_beam_0C2020_04_14_01:29:19.fil.hdf5,0.9999958,1.0
0.197586_DM_75.83_beam_0C2020_04_14_01:27:49.fil.hdf5,1.0,1.0
0.198449_DM_1144.08_beam_8C2020_02_02_04:35:20.fil.hdf5,2.7330256e-07,0.0
0.199516_DM_58.33_beam_0C2020_02_27_00:35:55.fil.hdf5,5.908778e-05,0.0
0.199827_DM_58.33_beam_11C2020_02_27_00:35:55.fil.hdf5,5.1894825e-05,0.0
0.20319_DM_356.12_beam_0C2020_04_19_20:32:59.fil.hdf5,1.0,1.0
0.204107_DM_51.27_beam_6C2020_02_02_04:24:30.fil.hdf5,3.9877312e-07,0.0
0.204934_DM_54.65_beam_4C2020_02_02_07:49:18.fil.hdf5,0.00011567852,0.0
0.205852_DM_125.56_beam_0C2020_04_19_16:12:47.fil.hdf5,1.0,1.0
0.208859_DM_56.49_beam_5C2020_02_02_04:24:30.fil.hdf5,0.002652687,0.0
0.210145_DM_303.62_beam_0I2020_05_24_23:21:17.fil.hdf5,0.0007812786,0.0
0.210391_DM_612.14_beam_0I2020_01_12_23:37:44.fil.hdf5,2.888019e-05,0.0
0.212995_DM_159.03_beam_0I2020_01_12_23:34:16.fil.hdf5,0.00019858712,0.0
0.213912_DM_83.50_beam_0C2020_04_19_16:03:08.fil.hdf5,1.0,1.0
0.215039_DM_30.09_beam_0C2020_04_11_22:13:04_1.fil.hdf5,1.0,1.0
0.219271_DM_2877.91_beam_331C2020_04_12_03:33:19.fil.hdf5,0.0012189244,0.0
0.222944_DM_56.80_beam_0C2020_03_30_03:56:10.fil.hdf5,0.99899274,1.0
